title,short_description,sub_category,source_url,author,image_url,category,website,scraped_at
“Backing him will only build confidence” - Team India veteran’s huge statement on Sanju Samson ahead of T20 World Cup 2026,Sports News - 24 min,Sports,https://www.sportskeeda.com/cricket/news-backing-will-build-confidence-team-india-veteran-s-huge-statement-sanju-samson-ahead-t20-world-cup-2026,Sportskeeda,https://staticg.sportskeeda.com/editor/2026/02/840b5-17703673880500-1920.jpg?w=1200,Sports,https://www.sportskeeda.com/,2026-02-06T14:49:56.046043
“All of their age starts at minus 7 so they look young” - Former India captain’s brutal remark on Afghanistan ahead of T20 World Cup 2026,Sports News - 32 min,Sports,https://www.sportskeeda.com/cricket/news-all-age-starts-minus-7-look-young-former-india-captain-s-brutal-remark-afghanistan-ahead-t20-world-cup-2026,Sportskeeda,https://staticg.sportskeeda.com/editor/2026/02/3e0d6-17703672967841-1920.jpg?w=300,Sports,https://www.sportskeeda.com/,2026-02-06T14:49:56.046161
“I was looking for Gabriel Magalhaes in return” - St Mirren manager makes hilarious transfer suggestion after deal with Arsenal,Sports News - 1 hr,Sports,https://www.sportskeeda.com/football/news-i-looking-gabriel-magalhaes-return-st-mirren-manager-makes-hilarious-transfer-suggestion-deal-arsenal,Sportskeeda,https://staticg.sportskeeda.com/editor/2026/02/85ae2-17703621417778-1920.jpg?w=300,Sports,https://www.sportskeeda.com/,2026-02-06T14:49:56.046188
"“I asked them, maybe not politely” - Liam Rosenior pinpoints warm-up incident where Chelsea felt disrespected by Arsenal in semi-final clash",Sports News - 2 hr,Sports,https://www.sportskeeda.com/football/news-i-asked-them-maybe-politely-liam-rosenior-pinpoints-warm-up-incident-chelsea-felt-disrespected-arsenal-semi-final-clash,Sportskeeda,https://staticg.sportskeeda.com/editor/2026/02/88422-17703603361620-1920.jpg?w=300,Sports,https://www.sportskeeda.com/,2026-02-06T14:49:56.046212
Drag flicker Amandeep Lakra finds place in 24-member FIH Hockey Pro League squad with India set to take on Argentina and Belgium in Rourkela,Sports News - 1 d,Sports,https://www.sportskeeda.com/indian-sports/news-drag-flicker-amandeep-lakra-finds-place-24-member-fih-hockey-pro-league-squad-india-set-take-argentina-belgium-rourkela,Sportskeeda,https://staticg.sportskeeda.com/editor/2026/02/6884e-17702772989932-1920.jpg?w=300,Sports,https://www.sportskeeda.com/,2026-02-06T14:49:56.046235
"Hockey coach Sjoerd Marijne refuses to rest on Tokyo Olympic laurels, all set to take on new challenges in now-familiar Indian setup [Exclusive]",Sports News - 2 d,Sports,https://www.sportskeeda.com/indian-sports/news-women-s-hockey-coach-sjoerd-marijne-refuses-rest-tokyo-olympic-laurels-set-take-new-challenges-now-familiar-indian-setup-exclusive,Sportskeeda,https://staticg.sportskeeda.com/editor/2026/02/660bf-17702084588258-1920.jpg?w=300,Sports,https://www.sportskeeda.com/,2026-02-06T14:49:56.046257
Wuthering Waves: From the Snow White quest guide,Sports News - 16 min,Sports,https://www.sportskeeda.com/esports/wuthering-waves-from-snow-white-quest-guide,Sportskeeda,https://staticg.sportskeeda.com/editor/2026/02/0518d-17703661044534-1920.jpg?w=300,Sports,https://www.sportskeeda.com/,2026-02-06T14:49:56.046279
55-year-old veteran has subtly teases AJ Styles arrival to AEW,Sports News - 23 min,Sports,https://www.sportskeeda.com/aew/55-year-old-veteran-subtly-teases-aj-styles-arrival-aew,Sportskeeda,https://staticg.sportskeeda.com/editor/2026/02/d25cc-17703660496414-1920.jpg?w=300,Sports,https://www.sportskeeda.com/,2026-02-06T14:49:56.046313
Fortnite Love and Legends: Full list of every free reward and how to claim them,Sports News - 1 hr,Sports,https://www.sportskeeda.com/fortnite/fortnite-love-legends-full-list-every-free-reward-claim,Sportskeeda,https://staticg.sportskeeda.com/editor/2026/02/eeb5d-17703645380801-1920.jpg?w=300,Sports,https://www.sportskeeda.com/,2026-02-06T14:49:56.046344
“The best Conor McGregor” - BKFC president David Feldman makes huge claims as UFC superstar plots comeback,Sports News - 2 hr,Sports,https://www.sportskeeda.com/mma/news-the-best-conor-mcgregor-bkfc-president-david-feldman-makes-huge-claims-ufc-superstar-plots-comeback,Sportskeeda,https://staticg.sportskeeda.com/editor/2026/02/8c25b-17703629642041-1920.jpg?w=300,Sports,https://www.sportskeeda.com/,2026-02-06T14:49:56.046364
Montpellier 2026 Day 5: Men's singles predictions ft. Tallon Griekspoor vs Titouan Droguet | Open Occitanie,Sports News - 2 hr,Sports,https://www.sportskeeda.com/tennis/news-montpellier-2026-day-5-men-s-singles-predictions-ft-tallon-griekspoor-vs-titouan-droguet-open-occitanie,Sportskeeda,https://staticg.sportskeeda.com/editor/2026/02/96724-17703598887592-1920.jpg?w=1200,Sports,https://www.sportskeeda.com/,2026-02-06T14:49:56.046385
Lando Norris reveals admiration for Max Verstappen as he confesses he's 'not at the level he needs to be',Sports News - 15 hr,Sports,https://www.sportskeeda.com/f1/news-lando-norris-reveals-admiration-max-verstappen-confesses-not-level-needs-be,Sportskeeda,https://staticg.sportskeeda.com/editor/2026/02/52636-17703162286856-1920.jpg?w=300,Sports,https://www.sportskeeda.com/,2026-02-06T14:49:56.046405
5 LIV Golfers who openly slammed World Golf Rankings ft. Jon Rahm,Sports News - 19 hr,Sports,https://www.sportskeeda.com/golf/news-5-liv-golfers-openly-slammed-world-golf-rankings-ft-jon-rahm,Sportskeeda,https://staticg.sportskeeda.com/editor/2026/02/27194351-1770284365.jpeg?w=300,Sports,https://www.sportskeeda.com/,2026-02-06T14:49:56.046426
Minecraft Forgiving Void mod guide,Sports News - 21 hr,Sports,https://www.sportskeeda.com/minecraft/minecraft-forgiving-void-mod-guide,Sportskeeda,https://staticg.sportskeeda.com/editor/2026/02/1e394-17702915621768-1920.jpg?w=300,Sports,https://www.sportskeeda.com/,2026-02-06T14:49:56.046447
"FFMIC 2026 Spring FFC Mode: Registration, minimum requirements, dates, and points system",Sports News - 2 d,Sports,https://www.sportskeeda.com/free-fire/news-ffmic-2026-spring-ffc-mode-registration-minimum-requirements-date-points-system,Sportskeeda,https://staticg.sportskeeda.com/editor/2026/02/d3142-17702032263043-1920.jpg?w=300,Sports,https://www.sportskeeda.com/,2026-02-06T14:49:56.046464
